"row","col","value"
"0449 L6 CT CTX Glut_5","301 Endo NN",0
"0452 L6 CT CTX Glut_5","301 Endo NN",0
"0461 L5 NP CTX Glut_2","301 Endo NN",0
"0463 L5 NP CTX Glut_2","301 Endo NN",0
"0465 L5 NP CTX Glut_3","301 Endo NN",0
"0470 L5 NP CTX Glut_4","301 Endo NN",0
"0497 Vip Gaba_1","301 Endo NN",0
"0513 Vip Gaba_3","301 Endo NN",0
"0514 Vip Gaba_3","301 Endo NN",0
"0516 Vip Gaba_3","301 Endo NN",0
"0522 Vip Gaba_4","301 Endo NN",0
"0527 Vip Gaba_5","301 Endo NN",0
"0529 Vip Gaba_5","301 Endo NN",0
"0533 Vip Gaba_6","301 Endo NN",0
"0547 Sncg Gaba_6","301 Endo NN",0
"0553 Sncg Gaba_3","301 Endo NN",0
"0560 Sncg Gaba_4","301 Endo NN",0
"0580 Lamp5 Gaba_1","301 Endo NN",0
"0581 Lamp5 Gaba_1","301 Endo NN",0
"0582 Lamp5 Gaba_1","301 Endo NN",0
"0587 Lamp5 Gaba_2","301 Endo NN",0
"0605 Pvalb chandelier Gaba","301 Endo NN",0
"0607 Pvalb Gaba_1","301 Endo NN",0
"0618 Pvalb Gaba_3","301 Endo NN",0
"0619 Pvalb Gaba_3","301 Endo NN",0
"0621 Pvalb Gaba_3","301 Endo NN",0
"0620 Pvalb Gaba_8","301 Endo NN",0
"0624 Pvalb Gaba_4","301 Endo NN",0
"0628 Pvalb Gaba_4","301 Endo NN",0
"0625 Pvalb Gaba_5","301 Endo NN",0
"0638 Sst Gaba_1","301 Endo NN",0
"0641 Sst Gaba_12","301 Endo NN",0
"0631 Sst Gaba_13","301 Endo NN",0
"0664 Sst Gaba_4","301 Endo NN",0
"0666 Sst Gaba_4","301 Endo NN",0
"0668 Sst Gaba_4","301 Endo NN",0
"0669 Sst Gaba_4","301 Endo NN",0
"0665 Sst Gaba_11","301 Endo NN",0
"0675 Sst Gaba_5","301 Endo NN",0
"0677 Sst Gaba_5","301 Endo NN",0
"0673 Sst Gaba_16","301 Endo NN",0
"0688 Sst Gaba_7","301 Endo NN",0
"0697 Sst Gaba_8","301 Endo NN",0
"0695 Sst Gaba_10","301 Endo NN",0
"0731 Sst Chodl Gaba_4","301 Endo NN",0
"5113 Astro-TE NN_3","301 Endo NN",0
"5146 OPC NN_1","301 Endo NN",0
"5150 COP NN","301 Endo NN",0
"5152 COP NN","301 Endo NN",0
"5155 MFOL NN","301 Endo NN",0
"5158 MOL NN","301 Endo NN",0
"5182 Peri NN","301 Endo NN",0
"5188 Endo NN","301 Endo NN",0.973333333333333
"5190 Microglia NN","301 Endo NN",0
"0004 Car3 Glut_1","302 Microglia NN",0
"0026 L5/6 IT TPE-ENT Glut_2","302 Microglia NN",0
"0029 L5/6 IT TPE-ENT Glut_3","302 Microglia NN",0
"0034 L6 IT CTX Glut_1","302 Microglia NN",0
"0035 L6 IT CTX Glut_1","302 Microglia NN",0
"0036 L6 IT CTX Glut_1","302 Microglia NN",0
"0037 L6 IT CTX Glut_1","302 Microglia NN",0
"0038 L6 IT CTX Glut_2","302 Microglia NN",0
"0041 L6 IT CTX Glut_2","302 Microglia NN",0
"0042 L6 IT CTX Glut_2","302 Microglia NN",0
"0044 L6 IT CTX Glut_3","302 Microglia NN",0
"0049 L6 IT CTX Glut_4","302 Microglia NN",0
"0053 L6 IT CTX Glut_5","302 Microglia NN",0
"0054 L6 IT CTX Glut_5","302 Microglia NN",0
"0055 L5 IT CTX Glut_1","302 Microglia NN",0
"0056 L5 IT CTX Glut_1","302 Microglia NN",0
"0061 L5 IT CTX Glut_3","302 Microglia NN",0
"0065 L5 IT CTX Glut_5","302 Microglia NN",0
"0069 L4/5 IT CTX Glut_1","302 Microglia NN",0
"0072 L4/5 IT CTX Glut_1","302 Microglia NN",0
"0075 L4/5 IT CTX Glut_2","302 Microglia NN",0
"0076 L4/5 IT CTX Glut_2","302 Microglia NN",0
"0078 L4/5 IT CTX Glut_2","302 Microglia NN",0
"0083 L4/5 IT CTX Glut_3","302 Microglia NN",0
"0084 L4/5 IT CTX Glut_3","302 Microglia NN",0
"0090 L4/5 IT CTX Glut_4","302 Microglia NN",0
"0091 L4/5 IT CTX Glut_4","302 Microglia NN",0
"0094 L4/5 IT CTX Glut_4","302 Microglia NN",0
"0096 L4/5 IT CTX Glut_5","302 Microglia NN",0
"0098 L4/5 IT CTX Glut_5","302 Microglia NN",0
"0099 L4/5 IT CTX Glut_5","302 Microglia NN",0
"0104 L2/3 IT CTX Glut_1","302 Microglia NN",0
"0105 L2/3 IT CTX Glut_1","302 Microglia NN",0
"0106 L2/3 IT CTX Glut_1","302 Microglia NN",0
"0109 L2/3 IT CTX Glut_2","302 Microglia NN",0
"0351 L5 ET CTX Glut_1","302 Microglia NN",0
"0352 L5 ET CTX Glut_1","302 Microglia NN",0
"0361 L5 ET CTX Glut_2","302 Microglia NN",0
"0362 L5 ET CTX Glut_2","302 Microglia NN",0
"0377 L5 ET CTX Glut_5","302 Microglia NN",0
"0379 L5 ET CTX Glut_5","302 Microglia NN",0
"0421 L6b CTX Glut_1","302 Microglia NN",0
"0430 L6b CTX Glut_3","302 Microglia NN",0
"0433 L6 CT CTX Glut_1","302 Microglia NN",0
"0436 L6 CT CTX Glut_1","302 Microglia NN",0
"0439 L6 CT CTX Glut_2","302 Microglia NN",0
"0440 L6 CT CTX Glut_2","302 Microglia NN",0
"0441 L6 CT CTX Glut_2","302 Microglia NN",0
"0445 L6 CT CTX Glut_3","302 Microglia NN",0
"0449 L6 CT CTX Glut_5","302 Microglia NN",0
"0452 L6 CT CTX Glut_5","302 Microglia NN",0
"0461 L5 NP CTX Glut_2","302 Microglia NN",0
"0463 L5 NP CTX Glut_2","302 Microglia NN",0
"0465 L5 NP CTX Glut_3","302 Microglia NN",0
"0470 L5 NP CTX Glut_4","302 Microglia NN",0
"0497 Vip Gaba_1","302 Microglia NN",0
"0513 Vip Gaba_3","302 Microglia NN",0
"0514 Vip Gaba_3","302 Microglia NN",0
"0516 Vip Gaba_3","302 Microglia NN",0
"0522 Vip Gaba_4","302 Microglia NN",0
"0527 Vip Gaba_5","302 Microglia NN",0
"0529 Vip Gaba_5","302 Microglia NN",0
"0533 Vip Gaba_6","302 Microglia NN",0
"0547 Sncg Gaba_6","302 Microglia NN",0
"0553 Sncg Gaba_3","302 Microglia NN",0
"0560 Sncg Gaba_4","302 Microglia NN",0
"0580 Lamp5 Gaba_1","302 Microglia NN",0
"0581 Lamp5 Gaba_1","302 Microglia NN",0
"0582 Lamp5 Gaba_1","302 Microglia NN",0
"0587 Lamp5 Gaba_2","302 Microglia NN",0
"0605 Pvalb chandelier Gaba","302 Microglia NN",0
"0607 Pvalb Gaba_1","302 Microglia NN",0
"0618 Pvalb Gaba_3","302 Microglia NN",0
"0619 Pvalb Gaba_3","302 Microglia NN",0
"0621 Pvalb Gaba_3","302 Microglia NN",0
"0620 Pvalb Gaba_8","302 Microglia NN",0
"0624 Pvalb Gaba_4","302 Microglia NN",0
"0628 Pvalb Gaba_4","302 Microglia NN",0
"0625 Pvalb Gaba_5","302 Microglia NN",0
"0638 Sst Gaba_1","302 Microglia NN",0
"0641 Sst Gaba_12","302 Microglia NN",0
"0631 Sst Gaba_13","302 Microglia NN",0
"0664 Sst Gaba_4","302 Microglia NN",0
"0666 Sst Gaba_4","302 Microglia NN",0
"0668 Sst Gaba_4","302 Microglia NN",0
"0669 Sst Gaba_4","302 Microglia NN",0
"0665 Sst Gaba_11","302 Microglia NN",0
"0675 Sst Gaba_5","302 Microglia NN",0
"0677 Sst Gaba_5","302 Microglia NN",0
"0673 Sst Gaba_16","302 Microglia NN",0
"0688 Sst Gaba_7","302 Microglia NN",0
"0697 Sst Gaba_8","302 Microglia NN",0
"0695 Sst Gaba_10","302 Microglia NN",0
"0731 Sst Chodl Gaba_4","302 Microglia NN",0
"5113 Astro-TE NN_3","302 Microglia NN",0
"5146 OPC NN_1","302 Microglia NN",0
"5150 COP NN","302 Microglia NN",0
"5152 COP NN","302 Microglia NN",0
"5155 MFOL NN","302 Microglia NN",0
"5158 MOL NN","302 Microglia NN",0
"5182 Peri NN","302 Microglia NN",0
"5188 Endo NN","302 Microglia NN",0
"5190 Microglia NN","302 Microglia NN",0.996666666666667
