cluster,curated_subclass,MetaArbor/primary,MetaArbor/seed977,OTHarmonizer/default,OTHarmonizer/v2_first,OTHarmonizer/v3_first,OTHarmonizer/v2f_r0,OTHarmonizer/v2f_r1,OTHarmonizer/v2f_r2,OTHarmonizer/v2f_r3,OTHarmonizer/v2f_r4,OTHarmonizer/v3f_r0,OTHarmonizer/v3f_r1,OTHarmonizer/v3f_r2,OTHarmonizer/v3f_r3,OTHarmonizer/v3f_r4
0004 Car3 Glut_1,001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut,exact:001 Car3 Glut
0026 L5/6 IT TPE-ENT Glut_2,003 L5/6 IT TPE-ENT Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut
0029 L5/6 IT TPE-ENT Glut_3,003 L5/6 IT TPE-ENT Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut,exact:003 L5/6 IT TPE-ENT Glut
0034 L6 IT CTX Glut_1,004 L6 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut
0035 L6 IT CTX Glut_1,004 L6 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut
0036 L6 IT CTX Glut_1,004 L6 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut
0037 L6 IT CTX Glut_1,004 L6 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,root:,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,root:,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut
0038 L6 IT CTX Glut_2,004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,root:,exact:004 L6 IT CTX Glut,wrong_lineage:005 L5 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,root:,exact:004 L6 IT CTX Glut
0041 L6 IT CTX Glut_2,004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,root:
0042 L6 IT CTX Glut_2,004 L6 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,root:,exact:004 L6 IT CTX Glut
0044 L6 IT CTX Glut_3,004 L6 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,root:,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,wrong_lineage:005 L5 IT CTX Glut,root:,root:,wrong_lineage:005 L5 IT CTX Glut,exact:004 L6 IT CTX Glut,root:,exact:004 L6 IT CTX Glut,root:
0049 L6 IT CTX Glut_4,004 L6 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:004 L6 IT CTX Glut,root:,exact:004 L6 IT CTX Glut,root:,root:,root:,exact:004 L6 IT CTX Glut,root:,exact:004 L6 IT CTX Glut,root:,root:,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut
0053 L6 IT CTX Glut_5,004 L6 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut,exact:004 L6 IT CTX Glut
0054 L6 IT CTX Glut_5,004 L6 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,root:,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut
0055 L5 IT CTX Glut_1,005 L5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut
0056 L5 IT CTX Glut_1,005 L5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,root:,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,root:,root:,exact:005 L5 IT CTX Glut
0061 L5 IT CTX Glut_3,005 L5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:005 L5 IT CTX Glut,root:,wrong_lineage:006 L4/5 IT CTX Glut,root:,root:,exact:005 L5 IT CTX Glut,root:,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,wrong_lineage:006 L4/5 IT CTX Glut,wrong_lineage:006 L4/5 IT CTX Glut,wrong_lineage:006 L4/5 IT CTX Glut,exact:005 L5 IT CTX Glut
0065 L5 IT CTX Glut_5,005 L5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,root:,root:,root:,exact:005 L5 IT CTX Glut,exact:005 L5 IT CTX Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,root:,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut
0069 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0072 L4/5 IT CTX Glut_1,006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0075 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,wrong_lineage:005 L5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0076 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:006 L4/5 IT CTX Glut,root:,exact:006 L4/5 IT CTX Glut,root:,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,root:,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0078 L4/5 IT CTX Glut_2,006 L4/5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,root:,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0083 L4/5 IT CTX Glut_3,006 L4/5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,exact:006 L4/5 IT CTX Glut,root:,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,exact:006 L4/5 IT CTX Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,wrong_lineage:003 L5/6 IT TPE-ENT Glut,exact:006 L4/5 IT CTX Glut,root:,wrong_lineage:003 L5/6 IT TPE-ENT Glut
0084 L4/5 IT CTX Glut_3,006 L4/5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,wrong_lineage:005 L5 IT CTX Glut,root:,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,wrong_lineage:005 L5 IT CTX Glut,wrong_lineage:005 L5 IT CTX Glut,wrong_lineage:005 L5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0090 L4/5 IT CTX Glut_4,006 L4/5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,root:,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,root:,root:,root:,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0091 L4/5 IT CTX Glut_4,006 L4/5 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,consistent_coarse:003 L5/6 IT TPE-ENT Glut|004 L6 IT CTX Glut|005 L5 IT CTX Glut|006 L4/5 IT CTX Glut|007 L2/3 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0094 L4/5 IT CTX Glut_4,006 L4/5 IT CTX Glut,wrong_lineage:007 L2/3 IT CTX Glut,wrong_lineage:007 L2/3 IT CTX Glut,wrong_lineage:007 L2/3 IT CTX Glut,exact:006 L4/5 IT CTX Glut,root:,wrong_lineage:007 L2/3 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,root:,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,root:,wrong_lineage:007 L2/3 IT CTX Glut,wrong_lineage:007 L2/3 IT CTX Glut
0096 L4/5 IT CTX Glut_5,006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0098 L4/5 IT CTX Glut_5,006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,root:,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0099 L4/5 IT CTX Glut_5,006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,wrong_lineage:007 L2/3 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut,exact:006 L4/5 IT CTX Glut
0104 L2/3 IT CTX Glut_1,007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut
0105 L2/3 IT CTX Glut_1,007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut
0106 L2/3 IT CTX Glut_1,007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut
0109 L2/3 IT CTX Glut_2,007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut,exact:007 L2/3 IT CTX Glut
